,Suburb_id,Suburb,Postcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
149,149,Baxter,3911.0,Gastropub,Pizza Place,Train Station,Bakery,Supermarket,,,,,
150,150,Bayles,3981.0,,,,,,,,,,
151,151,Bayswater,3153.0,Supermarket,Bus Stop,Malay Restaurant,Park,Thai Restaurant,Coffee Shop,Vietnamese Restaurant,Pharmacy,Dumpling Restaurant,Convenience Store
152,152,Bayswater,6053.0,Thai Restaurant,Grocery Store,Bar,,,,,,,
153,153,Bayswater North,3153.0,Arts & Crafts Store,Paper / Office Supplies Store,Electronics Store,Sporting Goods Shop,Sandwich Place,,,,,
154,154,Bayview,820.0,Furniture / Home Store,Harbor / Marina,Park,Gym,,,,,,
155,155,Bayview,2104.0,Gym / Fitness Center,,,,,,,,,
156,156,Beachmere,4510.0,Grocery Store,Sports Bar,Liquor Store,Shopping Mall,,,,,,
157,157,Beacon Hill,2100.0,Fast Food Restaurant,Business Service,Thai Restaurant,,,,,,,
158,158,Beaconsfield,2015.0,Café,Coffee Shop,Electronics Store,Italian Restaurant,Pet Store,Liquor Store,Thai Restaurant,Park,Pizza Place,Flea Market
159,159,Beaconsfield,3807.0,Steakhouse,Café,BBQ Joint,Fish & Chips Shop,Australian Restaurant,Asian Restaurant,Train Station,,,
160,160,Beaconsfield,6162.0,Farmers Market,Restaurant,Grocery Store,Soccer Field,Breakfast Spot,,,,,
161,161,Beaconsfield Upper,3808.0,,,,,,,,,,
162,162,Beaumaris,3193.0,Café,Chinese Restaurant,Park,Sports Club,,,,,,
163,163,Beaumont,5066.0,Garden,Bus Station,,,,,,,,
164,164,Beaumont Hills,2155.0,Grocery Store,Park,Pizza Place,Shopping Mall,,,,,,
165,165,Beckenham,6107.0,Electronics Store,Italian Restaurant,Arts & Crafts Store,Music Store,Sporting Goods Shop,Grocery Store,Gym / Fitness Center,Shopping Mall,Chinese Restaurant,Sandwich Place
166,166,Bedford,6052.0,Seafood Restaurant,Sports Bar,Grocery Store,Lingerie Store,,,,,,
167,167,Bedford Park,5042.0,Coffee Shop,Tea Room,Bus Station,,,,,,,
168,168,Bedfordale,6112.0,,,,,,,,,,
169,169,Beechboro,6063.0,,,,,,,,,,
